transaction_id,user_id,user_name,timestamp,amount,merchant_name,merchant_category,recipient_name,recipient_type,payment_method,device_id,device_type,city,state,country,latitude,longitude,account_age_days,balance_before,balance_after,hour_of_day,day_of_week,is_weekend,is_salary_period,recipient_frequency_score,merchant_frequency_score,days_since_recipient_seen,device_familiarity,location_familiarity
TXN0002282,U002,Pranav Chopade,2024-07-10 12:35:03,1648.36,Indian Oil,Fuel,Indian Oil,merchant,Credit Card,IPHN15-PC-002,iPhone 15,Pune,Maharashtra,India,18.517859,73.858452,1391,57768.55,56120.19,12,Wednesday,0,0,0.000,0.836,0,1.0,1.0
TXN0001884,U002,Pranav Chopade,2024-03-28 07:31:46,4315.90,Swiggy,Food Delivery,Swiggy,merchant,Net Banking,IPHN15-PC-002,iPhone 15,Pune,Maharashtra,India,18.523853,73.854295,1287,57674.33,53358.43,7,Thursday,0,0,0.000,0.923,0,1.0,1.0
TXN0001319,U001,Chirayu Mahajan,2024-11-20 13:21:55,1556.96,Steam,Gaming,Steam,merchant,Credit Card,SAMS24-CM-001,Samsung Galaxy S24,Bhopal,Madhya Pradesh,India,23.256544,77.408920,864,5272.79,3715.83,13,Wednesday,0,0,0.000,0.774,0,1.0,1.0
TXN0003035,U003,Farhan Farooqui,2024-01-08 11:35:15,853.19,Water Board,Utility,Water Board,merchant,Debit Card,SAMSM-FF-003,Samsung M Series,Mumbai,Maharashtra,India,19.079877,72.876335,2807,32491.30,31638.11,11,Monday,0,0,0.000,0.912,0,1.0,1.0
TXN0004137,U003,Farhan Farooqui,2024-10-02 17:21:00,1381.15,Water Board,Utility,Water Board,merchant,UPI,SAMSM-FF-003,Samsung M Series,Mumbai,Maharashtra,India,19.077019,72.882483,3075,5295.61,3914.46,17,Wednesday,0,1,0.000,0.908,0,1.0,1.0
TXN0001010,U001,Chirayu Mahajan,2024-09-02 14:37:24,331.94,Google Play,Gaming,Google Play,merchant,UPI,SAMS24-CM-001,Samsung Galaxy S24,Bhopal,Madhya Pradesh,India,23.262236,77.410426,785,3660.28,3328.34,14,Monday,0,1,0.000,0.797,0,1.0,1.0
TXN0005160,U004,Mehul Patil,2024-06-05 19:44:38,752.36,Zomato,Food Delivery,Zomato,merchant,Google Pay,ONPND-MP-004,OnePlus Nord,Nagpur,Maharashtra,India,21.148642,79.090639,456,2520.93,1768.57,19,Wednesday,0,1,0.000,0.879,0,1.0,1.0
TXN0003957,U003,Farhan Farooqui,2024-08-20 13:33:03,1274.63,Water Board,Utility,Water Board,merchant,UPI,SAMSM-FF-003,Samsung M Series,Mumbai,Maharashtra,India,19.073012,72.881529,3032,2669.00,1394.37,13,Tuesday,0,0,0.000,0.948,0,1.0,1.0
TXN0004533,U004,Mehul Patil,2024-01-10 13:51:27,550.33,Zomato,Food Delivery,Zomato,merchant,UPI,ONPND-MP-004,OnePlus Nord,Nagpur,Maharashtra,India,21.144271,79.085153,309,4483.44,3933.11,13,Wednesday,0,0,0.000,0.890,0,1.0,1.0
TXN0003060,U003,Farhan Farooqui,2024-01-15 12:12:56,161.20,Medical Stores,Pharmacy,Medical Stores,merchant,UPI,SAMSM-FF-003,Samsung M Series,Mumbai,Maharashtra,India,19.080807,72.877801,2814,5362.55,5201.35,12,Monday,0,0,0.000,0.759,0,1.0,1.0
TXN0001703,U002,Pranav Chopade,2024-02-17 19:46:59,2644.29,Flipkart,E-Commerce,Flipkart,merchant,Debit Card,IPHN15-PC-002,iPhone 15,Pune,Maharashtra,India,18.521226,73.861038,1247,9913.58,7269.29,19,Saturday,1,0,0.000,0.814,0,1.0,1.0
TXN0002039,U002,Pranav Chopade,2024-05-04 18:12:48,954.76,Jio Fiber,Utility,Jio Fiber,merchant,UPI,IPHN15-PC-002,iPhone 15,Pune,Maharashtra,India,18.524368,73.854596,1324,58440.52,57485.76,18,Saturday,1,1,0.000,0.901,0,1.0,1.0
TXN0004215,U003,Farhan Farooqui,2024-10-21 09:43:52,171.60,Reliance Fresh,Grocery,Reliance Fresh,merchant,Net Banking,SAMSM-FF-003,Samsung M Series,Mumbai,Maharashtra,India,19.074663,72.880951,3094,722.67,551.07,9,Monday,0,0,0.000,0.875,0,1.0,1.0
TXN0000016,U001,Chirayu Mahajan,2024-01-05 23:10:51,1927.66,P2P Transfer,Transfer,Farhan Farooqui,individual,UPI,SAMS24-CM-001,Samsung Galaxy S24,Bhopal,Madhya Pradesh,India,23.259257,77.411604,544,3762.19,1834.53,23,Friday,0,1,0.709,0.734,30,1.0,1.0
TXN0005654,U004,Mehul Patil,2024-10-04 20:31:13,342.75,P2P Transfer,Transfer,Chirayu Mahajan,individual,UPI,ONPND-MP-004,OnePlus Nord,Nagpur,Maharashtra,India,21.146845,79.089693,577,4603.03,4260.28,20,Friday,0,1,0.818,0.721,2,1.0,1.0
TXN0002086,U002,Pranav Chopade,2024-05-16 23:23:32,1642.01,Indian Oil,Fuel,Indian Oil,merchant,UPI,IPHN15-PC-002,iPhone 15,Pune,Maharashtra,India,18.516079,73.854004,1336,35711.98,34069.97,23,Thursday,0,0,0.000,0.925,0,1.0,1.0
TXN0001460,U001,Chirayu Mahajan,2024-12-19 17:31:33,333.26,BookMyShow,Entertainment,BookMyShow,merchant,Credit Card,SAMS24-CM-001,Samsung Galaxy S24,Bhopal,Madhya Pradesh,India,23.261117,77.408025,893,4592.34,4259.08,17,Thursday,0,0,0.000,0.676,0,1.0,1.0
TXN0003621,U003,Farhan Farooqui,2024-06-03 15:17:29,449.79,Apollo Pharmacy,Pharmacy,Apollo Pharmacy,merchant,Debit Card,SAMSM-FF-003,Samsung M Series,Mumbai,Maharashtra,India,19.077965,72.878913,2954,3439.50,2989.71,15,Monday,0,1,0.000,0.810,0,1.0,1.0
TXN0000138,U001,Chirayu Mahajan,2024-02-05 19:10:41,700.66,Amazon,E-Commerce,Amazon,merchant,UPI,SAMS24-CM-001,Samsung Galaxy S24,Bhopal,Madhya Pradesh,India,23.264557,77.411905,575,4502.96,3802.30,19,Monday,0,1,0.000,0.865,0,1.0,1.0
TXN0003114,U003,Farhan Farooqui,2024-01-27 10:41:20,1425.95,Apollo Pharmacy,Pharmacy,Apollo Pharmacy,merchant,Debit Card,SAMSM-FF-003,Samsung M Series,Mumbai,Maharashtra,India,19.075950,72.873017,2826,3514.97,2089.02,10,Saturday,1,0,0.000,0.808,0,1.0,1.0
TXN0004317,U003,Farhan Farooqui,2024-11-12 17:50:56,3043.70,Reliance Fresh,Grocery,Reliance Fresh,merchant,Debit Card,SAMSM-FF-003,Samsung M Series,Mumbai,Maharashtra,India,19.077272,72.874268,3116,8389.39,5345.69,17,Tuesday,0,0,0.000,0.897,0,1.0,1.0
TXN0003406,U003,Farhan Farooqui,2024-04-13 11:10:54,1250.60,Apollo Pharmacy,Pharmacy,Apollo Pharmacy,merchant,Cash,SAMSM-FF-003,Samsung M Series,Mumbai,Maharashtra,India,19.073738,72.879557,2903,4514.22,3263.62,11,Saturday,1,0,0.000,0.891,0,1.0,1.0
TXN0001349,U001,Chirayu Mahajan,2024-11-27 20:24:10,487.25,Steam,Gaming,Steam,merchant,Debit Card,SAMS24-CM-001,Samsung Galaxy S24,Bhopal,Madhya Pradesh,India,23.263885,77.411394,871,3093.92,2606.67,20,Wednesday,0,0,0.000,0.771,0,1.0,1.0
TXN0002582,U002,Pranav Chopade,2024-09-23 09:27:31,8509.24,P2P Transfer,Transfer,Farhan Farooqui,individual,UPI,IPHN15-PC-002,iPhone 15,Pune,Maharashtra,India,18.519945,73.853028,1466,64302.18,55792.94,9,Monday,0,0,0.759,0.655,2,1.0,1.0
TXN0001634,U002,Pranav Chopade,2024-02-01 19:52:03,3086.09,Indian Oil,Fuel,Indian Oil,merchant,Net Banking,IPHN15-PC-002,iPhone 15,Pune,Maharashtra,India,18.519996,73.855679,1231,23618.27,20532.18,19,Thursday,0,1,0.000,0.913,0,1.0,1.0
TXN0005086,U004,Mehul Patil,2024-05-18 20:40:22,151.37,Google Play,Gaming,Google Play,merchant,Credit Card,ONPND-MP-004,OnePlus Nord,Nagpur,Maharashtra,India,21.145409,79.084185,438,1408.72,1257.35,20,Saturday,1,0,0.000,0.798,0,1.0,1.0
TXN0001368,U001,Chirayu Mahajan,2024-12-01 20:17:03,871.34,Swiggy,Food Delivery,Swiggy,merchant,Debit Card,SAMS24-CM-001,Samsung Galaxy S24,Bhopal,Madhya Pradesh,India,23.258240,77.413729,875,6235.64,5364.30,20,Sunday,1,1,0.000,0.852,0,1.0,1.0
TXN0005254,U004,Mehul Patil,2024-06-27 15:04:51,743.11,BookMyShow,Entertainment,BookMyShow,merchant,Debit Card,ONPND-MP-004,OnePlus Nord,Nagpur,Maharashtra,India,21.149508,79.085213,478,3242.86,2499.75,15,Thursday,0,0,0.000,0.644,0,1.0,1.0
TXN0004458,U003,Farhan Farooqui,2024-12-18 11:33:25,859.49,P2P Transfer,Transfer,Chirayu Mahajan,individual,Cash,SAMSM-FF-003,Samsung M Series,Mumbai,Maharashtra,India,19.078097,72.874929,3152,6314.30,5454.81,11,Wednesday,0,0,0.763,0.673,0,1.0,1.0
TXN0005852,U004,Mehul Patil,2024-11-22 16:50:37,609.33,BookMyShow,Entertainment,BookMyShow,merchant,UPI,ONPND-MP-004,OnePlus Nord,Nagpur,Maharashtra,India,21.144605,79.091034,626,3207.16,2597.83,16,Friday,0,0,0.000,0.664,0,1.0,1.0
TXN0002156,U002,Pranav Chopade,2024-06-06 08:45:20,1864.96,Amazon,E-Commerce,Amazon,merchant,Debit Card,IPHN15-PC-002,iPhone 15,Pune,Maharashtra,India,18.523229,73.860350,1357,38137.40,36272.44,8,Thursday,0,0,0.000,0.861,0,1.0,1.0
TXN0005500,U004,Mehul Patil,2024-08-26 19:09:49,319.46,Zomato,Food Delivery,Zomato,merchant,UPI,ONPND-MP-004,OnePlus Nord,Nagpur,Maharashtra,India,21.147943,79.085381,538,1967.85,1648.39,19,Monday,0,0,0.000,0.831,0,1.0,1.0
TXN0005640,U004,Mehul Patil,2024-09-29 14:23:14,681.80,P2P Transfer,Transfer,Chirayu Mahajan,individual,UPI,ONPND-MP-004,OnePlus Nord,Nagpur,Maharashtra,India,21.143838,79.083990,572,5909.50,5227.70,14,Sunday,1,0,0.786,0.728,4,1.0,1.0
TXN0005719,U004,Mehul Patil,2024-10-23 19:00:35,296.41,Zomato,Food Delivery,Zomato,merchant,UPI,ONPND-MP-004,OnePlus Nord,Nagpur,Maharashtra,India,21.147388,79.090494,596,4724.74,4428.33,19,Wednesday,0,0,0.000,0.833,0,1.0,1.0
TXN0002443,U002,Pranav Chopade,2024-08-19 19:53:57,8737.52,P2P Transfer,Transfer,Farhan Farooqui,individual,Credit Card,IPHN15-PC-002,iPhone 15,Pune,Maharashtra,India,18.522467,73.855758,1431,60324.92,51587.40,19,Monday,0,0,0.790,0.661,12,1.0,1.0
TXN0005994,U004,Mehul Patil,2024-12-29 23:04:39,2055.45,Swiggy,Food Delivery,Swiggy,merchant,UPI,ONPND-MP-004,OnePlus Nord,Nagpur,Maharashtra,India,21.150012,79.086173,663,4331.57,2276.12,23,Sunday,1,0,0.000,0.869,0,1.0,1.0
TXN0005088,U004,Mehul Patil,2024-05-18 19:40:20,724.32,Swiggy,Food Delivery,Swiggy,merchant,Google Pay,ONPND-MP-004,OnePlus Nord,Nagpur,Maharashtra,India,21.144469,79.093080,438,2783.00,2058.68,19,Saturday,1,0,0.000,0.859,0,1.0,1.0
TXN0005305,U004,Mehul Patil,2024-07-09 14:27:47,410.04,Google Play,Gaming,Google Play,merchant,Credit Card,ONPND-MP-004,OnePlus Nord,Nagpur,Maharashtra,India,21.149848,79.092750,490,5431.81,5021.77,14,Tuesday,0,0,0.000,0.801,0,1.0,1.0
TXN0003886,U003,Farhan Farooqui,2024-08-05 13:19:40,206.59,Reliance Fresh,Grocery,Reliance Fresh,merchant,UPI,SAMSM-FF-003,Samsung M Series,Mumbai,Maharashtra,India,19.079742,72.877449,3017,5917.30,5710.71,13,Monday,0,1,0.000,0.874,0,1.0,1.0
TXN0005052,U004,Mehul Patil,2024-05-09 20:32:22,326.77,Swiggy,Food Delivery,Swiggy,merchant,UPI,ONPND-MP-004,OnePlus Nord,Nagpur,Maharashtra,India,21.147951,79.089892,429,4897.84,4571.07,20,Thursday,0,0,0.000,0.882,0,1.0,1.0
TXN0005864,U004,Mehul Patil,2024-11-24 14:07:54,1516.55,Zomato,Food Delivery,Zomato,merchant,Debit Card,ONPND-MP-004,OnePlus Nord,Nagpur,Maharashtra,India,21.145681,79.089038,628,2143.76,627.21,14,Sunday,1,0,0.000,0.888,0,1.0,1.0
TXN0001865,U002,Pranav Chopade,2024-03-24 18:49:36,1620.12,P2P Transfer,Transfer,Chirayu Mahajan,individual,UPI,IPHN15-PC-002,iPhone 15,Pune,Maharashtra,India,18.519245,73.859230,1283,63953.21,62333.09,18,Sunday,1,0,0.730,0.708,7,1.0,1.0
TXN0003751,U003,Farhan Farooqui,2024-07-05 21:11:51,2586.23,Apollo Pharmacy,Pharmacy,Apollo Pharmacy,merchant,UPI,SAMSM-FF-003,Samsung M Series,Mumbai,Maharashtra,India,19.072446,72.881936,2986,6544.86,3958.63,21,Friday,0,1,0.000,0.864,0,1.0,1.0
TXN0000072,U001,Chirayu Mahajan,2024-01-21 22:37:21,660.24,Blinkit,Grocery Delivery,Blinkit,merchant,Debit Card,SAMS24-CM-001,Samsung Galaxy S24,Bhopal,Madhya Pradesh,India,23.263057,77.411284,560,3914.42,3254.18,22,Sunday,1,0,0.000,0.726,0,1.0,1.0
TXN0001938,U002,Pranav Chopade,2024-04-09 13:06:53,2657.17,Indian Oil,Fuel,Indian Oil,merchant,Credit Card,IPHN15-PC-002,iPhone 15,Pune,Maharashtra,India,18.517272,73.860685,1299,34741.36,32084.19,13,Tuesday,0,0,0.000,0.851,0,1.0,1.0
TXN0002569,U002,Pranav Chopade,2024-09-20 21:49:18,1062.83,MSEB,Utility,MSEB,merchant,Credit Card,IPHN15-PC-002,iPhone 15,Pune,Maharashtra,India,18.522342,73.856538,1463,34088.11,33025.28,21,Friday,0,0,0.000,0.966,0,1.0,1.0
TXN0000794,U001,Chirayu Mahajan,2024-07-14 15:49:20,235.50,Google Play,Gaming,Google Play,merchant,UPI,SAMS24-CM-001,Samsung Galaxy S24,Bhopal,Madhya Pradesh,India,23.260653,77.408446,735,5686.09,5450.59,15,Sunday,1,0,0.000,0.774,0,1.0,1.0
TXN0004929,U004,Mehul Patil,2024-04-07 22:26:17,947.60,Zomato,Food Delivery,Zomato,merchant,UPI,ONPND-MP-004,OnePlus Nord,Nagpur,Maharashtra,India,21.141499,79.084204,397,5398.98,4451.38,22,Sunday,1,0,0.000,0.849,0,1.0,1.0
TXN0000027,U001,Chirayu Mahajan,2024-01-08 18:41:50,737.36,Zomato,Food Delivery,Zomato,merchant,Credit Card,SAMS24-CM-001,Samsung Galaxy S24,Bhopal,Madhya Pradesh,India,23.255835,77.414305,547,6174.33,5436.97,18,Monday,0,0,0.000,0.925,0,1.0,1.0
TXN0005596,U004,Mehul Patil,2024-09-18 16:16:36,951.42,BookMyShow,Entertainment,BookMyShow,merchant,Debit Card,ONPND-MP-004,OnePlus Nord,Nagpur,Maharashtra,India,21.142897,79.086351,561,5704.46,4753.04,16,Wednesday,0,0,0.000,0.630,0,1.0,1.0
TXN0001811,U002,Pranav Chopade,2024-03-12 18:25:33,1105.88,Amazon,E-Commerce,Amazon,merchant,Debit Card,IPHN15-PC-002,iPhone 15,Pune,Maharashtra,India,18.520428,73.859220,1271,5972.51,4866.63,18,Tuesday,0,0,0.000,0.803,0,1.0,1.0
TXN0003907,U003,Farhan Farooqui,2024-08-09 10:11:19,212.44,Reliance Fresh,Grocery,Reliance Fresh,merchant,Debit Card,SAMSM-FF-003,Samsung M Series,Mumbai,Maharashtra,India,19.077629,72.879622,3021,4535.60,4323.16,10,Friday,0,0,0.000,0.909,0,1.0,1.0
TXN0004329,U003,Farhan Farooqui,2024-11-15 11:08:42,1219.01,Reliance Fresh,Grocery,Reliance Fresh,merchant,UPI,SAMSM-FF-003,Samsung M Series,Mumbai,Maharashtra,India,19.071370,72.879608,3119,6221.94,5002.93,11,Friday,0,0,0.000,0.936,0,1.0,1.0
TXN0002732,U002,Pranav Chopade,2024-10-27 21:15:25,790.72,Swiggy,Food Delivery,Swiggy,merchant,Net Banking,IPHN15-PC-002,iPhone 15,Pune,Maharashtra,India,18.515439,73.852418,1500,66398.21,65607.49,21,Sunday,1,0,0.000,0.939,0,1.0,1.0
TXN0004016,U003,Farhan Farooqui,2024-09-04 09:38:46,1685.28,Reliance Fresh,Grocery,Reliance Fresh,merchant,Cash,SAMSM-FF-003,Samsung M Series,Mumbai,Maharashtra,India,19.079312,72.882639,3047,6955.83,5270.55,9,Wednesday,0,1,0.000,0.895,0,1.0,1.0
TXN0002420,U002,Pranav Chopade,2024-08-13 13:31:13,1891.19,HP Petrol Pump,Fuel,HP Petrol Pump,merchant,Debit Card,IPHN15-PC-002,iPhone 15,Pune,Maharashtra,India,18.520178,73.854565,1425,70110.95,68219.76,13,Tuesday,0,0,0.000,0.855,0,1.0,1.0
TXN0001974,U002,Pranav Chopade,2024-04-16 19:40:25,4895.08,Amazon,E-Commerce,Amazon,merchant,Net Banking,IPHN15-PC-002,iPhone 15,Pune,Maharashtra,India,18.517287,73.859305,1306,54525.54,49630.46,19,Tuesday,0,0,0.000,0.817,0,1.0,1.0
TXN0005683,U004,Mehul Patil,2024-10-15 11:18:41,1393.43,Swiggy,Food Delivery,Swiggy,merchant,UPI,ONPND-MP-004,OnePlus Nord,Nagpur,Maharashtra,India,21.148923,79.091213,588,5352.87,3959.44,11,Tuesday,0,0,0.000,0.925,0,1.0,1.0
TXN0002783,U002,Pranav Chopade,2024-11-07 07:39:51,2646.29,Indian Oil,Fuel,Indian Oil,merchant,UPI,IPHN15-PC-002,iPhone 15,Pune,Maharashtra,India,18.522708,73.859428,1511,64144.70,61498.41,7,Thursday,0,0,0.000,0.901,0,1.0,1.0
TXN0002216,U002,Pranav Chopade,2024-06-22 20:41:12,13176.77,Rent Transfer,Rent,Rent Transfer,merchant,Credit Card,IPHN15-PC-002,iPhone 15,Pune,Maharashtra,India,18.520140,73.855495,1373,15659.71,2482.94,20,Saturday,1,0,0.000,0.990,0,1.0,1.0
TXN0002477,U002,Pranav Chopade,2024-08-27 20:07:19,3532.93,P2P Transfer,Transfer,Chirayu Mahajan,individual,Credit Card,IPHN15-PC-002,iPhone 15,Pune,Maharashtra,India,18.524113,73.861690,1439,55040.34,51507.41,20,Tuesday,0,0,0.798,0.674,2,1.0,1.0
TXN0005304,U004,Mehul Patil,2024-07-09 11:57:56,119.29,P2P Transfer,Transfer,Chirayu Mahajan,individual,UPI,ONPND-MP-004,OnePlus Nord,Nagpur,Maharashtra,India,21.147191,79.087746,490,5551.10,5431.81,11,Tuesday,0,0,0.795,0.705,19,1.0,1.0
TXN0004610,U004,Mehul Patil,2024-01-26 14:31:43,262.41,Zomato,Food Delivery,Zomato,merchant,UPI,ONPND-MP-004,OnePlus Nord,Nagpur,Maharashtra,India,21.149196,79.090589,325,3100.96,2838.55,14,Friday,0,0,0.000,0.919,0,1.0,1.0
TXN0002565,U002,Pranav Chopade,2024-09-20 07:20:19,13526.65,Rent Transfer,Rent,Rent Transfer,merchant,Credit Card,IPHN15-PC-002,iPhone 15,Pune,Maharashtra,India,18.517627,73.859358,1463,79476.87,65950.22,7,Friday,0,0,0.000,0.961,0,1.0,1.0
TXN0004504,U004,Mehul Patil,2024-01-01 11:24:29,352.76,P2P Transfer,Transfer,Pranav Chopade,individual,Google Pay,ONPND-MP-004,OnePlus Nord,Nagpur,Maharashtra,India,21.141552,79.092779,300,5000.00,4647.24,11,Monday,0,1,0.832,0.744,30,1.0,1.0
TXN0003209,U003,Farhan Farooqui,2024-02-22 14:21:01,1379.59,P2P Transfer,Transfer,Pranav Chopade,individual,Cash,SAMSM-FF-003,Samsung M Series,Mumbai,Maharashtra,India,19.077861,72.881617,2852,3425.81,2046.22,14,Thursday,0,0,0.842,0.701,3,1.0,1.0
TXN0003821,U003,Farhan Farooqui,2024-07-20 15:08:24,1124.26,Reliance Fresh,Grocery,Reliance Fresh,merchant,UPI,SAMSM-FF-003,Samsung M Series,Mumbai,Maharashtra,India,19.075464,72.876424,3001,5616.22,4491.96,15,Saturday,1,0,0.000,0.931,0,1.0,1.0
TXN0004795,U004,Mehul Patil,2024-03-07 20:30:23,2836.87,Zomato,Food Delivery,Zomato,merchant,UPI,ONPND-MP-004,OnePlus Nord,Nagpur,Maharashtra,India,21.144077,79.090252,366,7994.13,5157.26,20,Thursday,0,0,0.000,0.883,0,1.0,1.0
TXN0003774,U003,Farhan Farooqui,2024-07-11 11:30:51,543.66,Reliance Fresh,Grocery,Reliance Fresh,merchant,UPI,SAMSM-FF-003,Samsung M Series,Mumbai,Maharashtra,India,19.072501,72.874557,2992,2945.07,2401.41,11,Thursday,0,0,0.000,0.874,0,1.0,1.0
TXN0004933,U004,Mehul Patil,2024-04-08 15:31:05,775.52,Swiggy,Food Delivery,Swiggy,merchant,UPI,ONPND-MP-004,OnePlus Nord,Nagpur,Maharashtra,India,21.141635,79.092478,398,3735.95,2960.43,15,Monday,0,0,0.000,0.921,0,1.0,1.0
TXN0002559,U002,Pranav Chopade,2024-09-19 19:29:21,879.71,Zomato,Food Delivery,Zomato,merchant,Credit Card,IPHN15-PC-002,iPhone 15,Pune,Maharashtra,India,18.519568,73.853875,1462,13340.06,12460.35,19,Thursday,0,0,0.000,0.846,0,1.0,1.0
TXN0004264,U003,Farhan Farooqui,2024-11-01 17:30:33,829.88,Medical Stores,Pharmacy,Medical Stores,merchant,Cash,SAMSM-FF-003,Samsung M Series,Mumbai,Maharashtra,India,19.071045,72.875858,3105,5358.57,4528.69,17,Friday,0,1,0.000,0.807,0,1.0,1.0
TXN0001986,U002,Pranav Chopade,2024-04-19 20:38:18,14973.01,Flipkart,E-Commerce,Flipkart,merchant,Net Banking,IPHN15-PC-002,iPhone 15,Pune,Maharashtra,India,18.518678,73.855102,1309,33045.30,18072.29,20,Friday,0,0,0.000,0.831,0,1.0,1.0
TXN0004950,U004,Mehul Patil,2024-04-12 22:47:04,464.37,Swiggy,Food Delivery,Swiggy,merchant,UPI,ONPND-MP-004,OnePlus Nord,Nagpur,Maharashtra,India,21.149840,79.091933,402,4593.73,4129.36,22,Friday,0,0,0.000,0.852,0,1.0,1.0
TXN0003830,U003,Farhan Farooqui,2024-07-22 16:13:48,1406.20,P2P Transfer,Transfer,Chirayu Mahajan,individual,UPI,SAMSM-FF-003,Samsung M Series,Mumbai,Maharashtra,India,19.080989,72.882592,3003,6922.96,5516.76,16,Monday,0,0,0.737,0.693,1,1.0,1.0
TXN0000801,U001,Chirayu Mahajan,2024-07-15 17:39:54,759.87,Blinkit,Grocery Delivery,Blinkit,merchant,UPI,SAMS24-CM-001,Samsung Galaxy S24,Bhopal,Madhya Pradesh,India,23.255972,77.411097,736,2041.03,1281.16,17,Monday,0,0,0.000,0.703,0,1.0,1.0
TXN0001970,U002,Pranav Chopade,2024-04-14 18:18:27,5070.55,Flipkart,E-Commerce,Flipkart,merchant,Credit Card,IPHN15-PC-002,iPhone 15,Pune,Maharashtra,India,18.522752,73.857004,1304,63308.94,58238.39,18,Sunday,1,0,0.000,0.800,0,1.0,1.0
TXN0001273,U001,Chirayu Mahajan,2024-11-07 21:45:09,1851.67,Zomato,Food Delivery,Zomato,merchant,UPI,SAMS24-CM-001,Samsung Galaxy S24,Bhopal,Madhya Pradesh,India,23.258172,77.415848,851,6302.44,4450.77,21,Thursday,0,0,0.000,0.852,0,1.0,1.0
TXN0003068,U003,Farhan Farooqui,2024-01-17 08:11:22,1460.60,Reliance Fresh,Grocery,Reliance Fresh,merchant,UPI,SAMSM-FF-003,Samsung M Series,Mumbai,Maharashtra,India,19.074165,72.882501,2816,4035.64,2575.04,8,Wednesday,0,0,0.000,0.930,0,1.0,1.0
TXN0002798,U002,Pranav Chopade,2024-11-10 18:55:54,1266.54,Jio Fiber,Utility,Jio Fiber,merchant,Credit Card,IPHN15-PC-002,iPhone 15,Pune,Maharashtra,India,18.522359,73.861050,1514,43508.43,42241.89,18,Sunday,1,0,0.000,0.963,0,1.0,1.0
